,Unnamed: 0,age,human_norm_rating,human_rating,norm_r,norm_s,norm_t,post_tran,pre_tran,rotate,scale,session_id,spatial,category,translate,has_ref
49,49,6,0.876466737363,3.0,-0.300591689653,-0.0465177683758,-0.402150951407,-0.499812453985,-0.139691829681,0.0437756,0.106919513124,CDM_photodraw_e11532545713435,-0.749260409437,circle,0.048825,False
50,50,7,0.705683825175,3.0,-0.495488077821,-0.883073876907,-0.422865124423,-0.840420365334,-0.273471355438,0.0218292,0.0184275318034,CDM_photodraw_e11532546711242,-1.80142707915,square,0.0471067,True
51,51,7,0.188011312169,2.0,-0.583898522924,-0.411976873226,-0.390174270449,-0.664098501205,-0.420284062624,0.0118737,0.0682607788801,CDM_photodraw_e11532546711242,-1.3860496666,shape,0.0498185,True
52,52,7,-0.364498952067,1.0,0.0041918972145,0.0619268887516,-0.367665102169,-0.350513249636,-0.0281204599887,0.0780959,0.11839092846,CDM_photodraw_e11532546711242,-0.301546316203,circle,0.0516857,False
53,53,6,0.34819240602,2.0,-0.684199970861,-0.829975801308,-0.431793086092,-0.755823373795,-0.373029083014,0.000579208,0.0240443145466,CDM_photodraw_e11532547010484,-1.94596885826,square,0.0463661,True
54,54,6,0.75074848824,3.0,-0.571891113671,-0.675919570389,-0.702786739782,-0.479546159506,-0.412948876619,0.0132258,0.0403405808338,CDM_photodraw_e11532547010484,-1.95059742384,shape,0.0238864,True
55,55,6,-0.589873812189,1.0,-0.433809015452,1.07287416656,0.286794510873,-0.498663365841,-0.0773475915194,0.0287746,0.225330232007,CDM_photodraw_e11532547010484,0.925859661986,circle,0.105975,False
56,56,4,-0.969334429511,0.0,-0.205978171284,0.52995584389,-0.668578156435,-0.639195680618,-0.104411423206,0.0544296,0.167899633415,CDM_photodraw_e11532547528521,-0.344600483829,square,0.0267241,True
57,57,4,-0.40961596026,1.0,1.59564296106,0.746010549841,0.0979125478523,-0.503494441509,-0.0227588191628,0.257302,0.190754178147,CDM_photodraw_e11532547528521,2.43956605876,circle,0.0903067,False
58,58,4,-1.22884788078,0.0,0.530312860573,1.43211502067,0.426006097897,-0.281743347645,-0.0865791961551,0.13734,0.263331191688,CDM_photodraw_e11532552096322,2.38843397914,square,0.117523,True
59,59,4,-1.25822955067,0.0,-0.309872766061,-0.00919893384741,0.283672255848,-0.264744997025,-0.209134668112,0.0427305,0.110867147448,CDM_photodraw_e11532552096322,-0.0353994440611,shape,0.105716,True
60,60,4,-0.461557375421,1.0,0.682703321923,3.12262535693,-0.0371545168631,-0.268754333258,0.00922595523298,0.1545,0.442155549759,CDM_photodraw_e11532552096322,3.76817416199,circle,0.0791025,False
61,61,6,-1.10514071141,0.0,-0.0691384638314,-0.140802937986,-0.864659388574,-0.337441474199,-0.0793309658766,0.0698385,0.0969459065926,CDM_photodraw_e11532552431212,-1.07460079039,square,0.0104586,True
62,62,6,-0.364498952067,1.0,-0.351747284849,0.0505249239632,-0.607332532268,-0.476554661989,-0.358068108559,0.0380152,0.117184813957,CDM_photodraw_e11532552431212,-0.908554893154,shape,0.0318046,True
63,63,6,-0.273826665731,2.0,1.2475604131,-0.470693755519,0.447861883079,-0.386497229338,-0.0706486105919,0.218106,0.0620496315367,CDM_photodraw_e11532552431212,1.22472854066,circle,0.119336,False
64,64,6,-0.356129328724,1.0,0.352595033503,-0.168161984275,-0.597804229672,-0.643683969975,-0.387027353048,0.117328,0.094051831481,CDM_photodraw_e11532553232054,-0.413371180444,square,0.032595,True
65,65,6,0.160579129181,2.0,-0.68738314651,-0.142654470973,-0.540729648899,-0.616943001747,-0.45414441824,0.000220765,0.0967500490514,CDM_photodraw_e11532553232054,-1.37076726638,shape,0.0373295,True
66,66,6,-0.473631733463,1.0,0.441862452937,-0.267341941017,0.593534970851,-0.531125843525,-0.0532129518688,0.12738,0.08356044807,CDM_photodraw_e11532553232054,0.768055482771,circle,0.13142,False
67,67,6,-0.958219013401,0.0,-0.551471147072,-0.580509695377,-0.649715637365,-0.355947375298,-0.0947441458702,0.0155252,0.0504331601494,CDM_photodraw_e11532554214992,-1.78169647982,square,0.0282888,True
68,68,6,-0.495187568472,1.0,-0.376130646721,1.57787653546,-0.749748348581,-0.443788439035,-0.161306247115,0.0352695,0.278750032232,CDM_photodraw_e11532554214992,0.451997540153,shape,0.0199908,True
69,69,6,-0.356129328724,1.0,0.476869632345,0.0680484138619,0.651604092318,-0.681278407574,-0.0825515016913,0.131322,0.119038471261,CDM_photodraw_e11532554214992,1.19652213852,circle,0.136237,False
70,70,4,-0.53510911925,1.0,2.0717388249,-0.222916995167,0.999777720342,-0.545680463314,-0.0147584332153,0.310913,0.088259775991,CDM_photodraw_e11532554599143,2.84859955007,circle,0.165119,False
71,71,4,-0.958219013401,0.0,-0.419061064452,-0.381396943699,0.283515540344,-0.583109378815,-0.0801822170615,0.0304353,0.071495563164,CDM_photodraw_e11532555203616,-0.516942467807,square,0.105703,True
72,72,4,0.384774151605,2.0,-0.666627361421,0.264430281691,-0.268663096763,-0.471382498741,-0.0374033413827,0.00255798,0.139811997869,CDM_photodraw_e11532555203616,-0.670860176493,circle,0.0598982,False
73,73,5,0.911131743587,3.0,-0.537084634987,-0.564591601887,-0.499846190618,-0.834975838661,-0.171592444181,0.0171452,0.0521169965561,CDM_photodraw_e11532555995167,-1.60152242749,square,0.0407209,True
74,74,5,1.35866875035,3.0,-0.54611705563,-0.102956726619,-0.531858345912,-0.653482079506,-0.409248411655,0.0161281,0.100949327517,CDM_photodraw_e11532555995167,-1.18093212816,shape,0.0380654,True
75,75,5,-0.622662198684,1.0,0.0244333644962,0.723511628174,1.29490917804,-0.446648985147,-0.031137721613,0.0803752,0.18837421327,CDM_photodraw_e11532555995167,2.04285417071,circle,0.189601,False
76,76,5,-1.1303235216,0.0,-0.116154828605,0.764930881998,0.823364283859,-0.382172703743,-0.221111744642,0.0645442,0.192755595222,CDM_photodraw_e11532556623648,1.47214033725,shape,0.150485,True
77,77,7,-10.0,-10.0,-0.636514526708,-0.434935024096,-0.846346579269,-0.820240020752,-0.407911360264,0.00594885,0.0658322361473,CDM_photodraw_e11532557358704,-1.91779613007,square,0.0119777,True
78,78,7,0.911131743587,3.0,-0.402722604616,-0.62246471732,-0.259753217652,-0.713253498077,-0.328763961792,0.0322751,0.0459951039566,CDM_photodraw_e11532557358704,-1.28494053959,shape,0.0606373,True
79,79,7,-10.0,-10.0,-0.478313957005,-0.607804279119,-0.697951463756,-0.318070948124,-0.161695837975,0.0237631,0.047545903969,CDM_photodraw_e11532557358704,-1.78406969988,circle,0.0242875,False
80,80,7,1.04341251546,3.0,-0.537997556865,-0.466389513996,-0.316497490365,-0.841968655586,-0.187897413969,0.0170424,0.0625049397421,CDM_photodraw_e11532557578120,-1.32088456123,square,0.0559302,True
81,81,7,1.0619131671,4.0,-0.663842683276,-0.554268625767,-0.435936402896,-0.756392598152,-0.439278542995,0.00287155,0.0532089742498,CDM_photodraw_e11532557578120,-1.65404771194,shape,0.0460224,True
82,82,7,1.22884788078,3.0,0.55762947241,0.403535613857,-0.323953531807,-0.702537596226,-0.0679397806525,0.140416,0.154526738853,CDM_photodraw_e11532557578120,0.63721155446,circle,0.0553117,False
83,83,6,1.35866875035,3.0,-0.527489186649,-0.89869415493,-0.209211262357,-0.760041952133,-0.187918066978,0.0182257,0.0167751987,CDM_photodraw_e11532558017061,-1.63539460393,square,0.0648299,True
